BenutzerNr;FahrzeugNr;ArtNr;Datum;Laufleistung;Strecke;Tankmenge;Kosten;KraftstoffNr;Kraftstoff;Notiz;Verbrauch;Sparsam;Normal;Schnell;Winter;Sommer;Ganzjahr;Stadt;Land;Autobahn;Klima;Anhaenger
10663;12297;2;2018-05-02;161152;843;20,91;25,07;1;Diesel;;2,48;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2018-04-19;160309;750;39,18;45,80;1;Diesel;;5,22;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2018-04-12;159559;776;37,11;43,75;1;Diesel;;4,78;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2018-04-01;158783;552;25,05;29,28;1;Diesel;;4,54;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2018-03-28;158231;485;45,81;52,64;1;Diesel;;5,31;0;1;0;1;0;0;1;1;1;0;0
10663;12297;2;2018-03-27;157746;759;20,19;24,41;1;Diesel;;2,66;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2018-03-20;156987;382;20,21;22,61;1;Diesel;;5,29;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2018-03-06;156605;649;34,57;38,68;1;Diesel;;5,33;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2018-03-04;155956;458;26,12;29,76;1;Diesel;;5,70;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2018-02-19;155498;754;38,63;42,45;1;Diesel;;5,12;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2018-02-07;154744;460;22,29;25,39;1;Diesel;;4,85;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2018-02-02;154284;409;21,15;24,09;1;Diesel;;5,17;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2018-01-23;153875;450;23,87;27,19;1;Diesel;;5,30;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2018-01-10;153425;815;42,61;49,81;1;Diesel;;5,23;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2017-12-18;152610;788;44,00;49,24;1;Diesel;;5,58;0;1;0;1;0;0;1;1;1;0;0
10663;12297;1;2017-12-09;151822;793;41,34;47,50;1;Diesel;;5,21;0;1;0;0;1;0;1;1;1;0;0
10663;12297;1;2017-11-30;151029;631;32,58;38,09;1;Diesel;;5,16;0;1;0;0;1;0;1;1;1;0;0
10663;12297;1;2017-11-19;150398;724;37,27;41,33;1;Diesel;;5,15;0;1;0;0;1;0;1;1;1;0;0
10663;12297;1;2017-11-09;149674;31;25,33;27,84;1;Diesel;;4,89;0;1;0;0;1;0;1;1;1;1;0
10663;12297;2;2017-11-09;149643;897;20,05;23,24;1;Diesel;;0,00;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-10-19;148746;493;24,16;27,28;1;Diesel;;4,90;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-10-14;148253;872;40,35;45,15;1;Diesel;;4,63;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-09-19;147381;914;44,97;50,77;1;Diesel;;4,92;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-09-05;146467;928;43,60;47,92;1;Diesel;;4,70;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-08-23;145539;898;43,38;46,81;1;Diesel;;4,83;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-08-10;144641;847;40,10;43,67;1;Diesel;;4,73;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-08-03;143794;921;42,35;46,12;1;Diesel;;4,60;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-07-12;142873;918;43,60;47,04;1;Diesel;;4,75;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-06-27;141955;91;42,21;45,11;1;Diesel;;5,14;0;1;0;0;1;0;1;1;1;1;0
10663;12297;2;2017-06-25;141864;907;9,11;10,19;1;Diesel;;0,00;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-06-23;140957;433;21,01;22,25;1;Diesel;;4,85;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-06-07;140524;587;30,42;32,82;1;Diesel;;5,18;0;1;0;0;1;0;1;1;1;1;0
10663;12297;1;2017-06-01;139937;247;36,84;40,49;1;Diesel;;5,28;0;1;0;0;1;0;1;1;1;1;0
10663;12297;2;2017-05-27;139690;812;19,03;21,10;1;Diesel;;0,00;0;1;0;0;1;0;1;1;1;1;0
