ArtNr	Datum	Laufleistung	Tankmenge	Kosten
1	2018-05-11	161556	42,50	52,23
1	2018-05-29	162258	34,46	43,04		
1	2018-06-05	162957	38,04	47,51
1	2018-06-14	163390	22,54	27,70
1	2018-06-21	163674	14,24	17,50
1	2018-06-27	164326	32,94	39,82
1	2018-07-05	165046	33,13	41,05
1	2018-07-12	165748	35,72	43,54
1	2018-07-24	166651	44,60	54,81
1	2018-08-08	167616	44,79	55,49
1	2018-08-23	168181	24,71	30,62
1	2018-09-07	168794	23,05	30,86
2	2018-09-18	169612	18,83	25,21
1	2018-09-27	169985	41,18	55,55
1	2018-10-10	170904	43,55	59,62
1	2018-10-28	171764	38,77	56,18
1	2018-11-14	172557	40,90	59,67
1	2018-11-20	173219	34,67	49,54
