ArtNr	Datum	Laufleistung	Tankmenge	Kosten
3	2016-01-29	107480	40.27	38.22
1	2016-02-08	108190	37.99	36.05
1	2016-02-18	109040	42.13	39.14
1	2016-02-25	109839	43.47	40.82
1	2016-03-04	110400	27.71	27.96
2	2016-03-07	111125	10.5	10.7
1	2016-03-08	111429	41.88	40.58
1	2016-03-18	111891	23.0	22.52
1	2016-03-23	112535	32.2	32.17
1	2016-03-30	113214	33.66	35.31
1	2016-04-11	113869	32.44	32.41
1	2016-04-14	114704	40.92	40.47
1	2016-04-28	115166	22.56	24.12
1	2016-05-05	115867	35.08	36.1
1	2016-05-16	116690	38.71	41.38
1	2016-05-25	117318	29.8	31.26
1	2016-05-30	118310	45.82	49.44
1	2016-06-13	118892	25.7	27.22
1	2016-06-18	119633	35.26	39.1
1	2016-06-29	120498	41.79	44.26
1	2016-07-08	120995	22.57	23.9
1	2016-07-14	121648	29.81	30.97
1	2016-07-28	122249	26.99	27.23
1	2016-08-04	122728	20.46	20.23
1	2016-08-29	123501	37.93	40.17
1	2016-09-14	124408	41.31	42.51
1	2016-09-23	125258	39.94	41.1
1	2016-09-29	125984	34.82	36.18
1	2016-10-06	126769	36.36	38.87
1	2016-10-19	127668	43.06	46.89
1	2016-11-26	128443	40.26	44.25
1	2016-12-05	129246	41.41	45.92
1	2016-12-15	130067	41.93	47.34
1	2017-01-09	130754	37.39	42.96
1	2017-01-19	131168	22.82	25.54
1	2017-01-25	131568	21.77	24.36
1	2017-02-01	132236	34.7	38.83
1	2017-02-09	132631	19.55	21.88
1	2017-02-16	133388	38.04	42.95
1	2017-02-27	133747	17.83	20.31
1	2017-03-02	134515	40.86	46.54
1	2017-03-08	135148	32.36	36.53
1	2017-03-17	135489	16.99	19.01
1	2017-03-29	136137	35.12	38.25
1	2017-04-06	136683	27.03	30.52
1	2017-04-10	137517	41.92	47.33
1	2017-04-20	137855	17.06	19.26
1	2017-04-26	138561	36.11	40.41
1	2017-05-12	138878	16.03	17.3
2	2017-05-27	139690	19.03	21.1
1	2017-06-01	139937	36.84	40.49
1	2017-06-07	140524	30.42	32.82
1	2017-06-23	140957	21.01	22.25
2	2017-06-25	141864	9.11	10.19
1	2017-06-27	141955	42.21	45.11
1	2017-07-12	142873	43.6	47.04
1	2017-08-03	143794	42.35	46.12
1	2017-08-10	144641	40.1	43.67
1	2017-08-23	145539	43.38	46.81
1	2017-09-05	146467	43.6	47.92
1	2017-09-19	147381	44.97	50.77
1	2017-10-14	148253	40.35	45.15
1	2017-10-19	148746	24.16	27.28
2	2017-11-09	149643	20.05	23.24
1	2017-11-10	149674	25.33	27.84
1	2017-11-19	150398	37.27	41.33
1	2017-11-30	151029	32.58	38.09
1	2017-12-09	151822	41.34	47.5
1	2017-12-18	152610	44.0	49.24
1	2018-01-10	153425	42.61	49.81
1	2018-01-23	153875	23.87	27.19
1	2018-02-02	154284	21.15	24.09
1	2018-02-07	154744	22.29	25.39
1	2018-02-19	155498	38.63	42.45
1	2018-03-04	155956	26.12	29.76
1	2018-03-06	156605	34.57	38.68
1	2018-03-20	156987	20.21	22.61
2	2018-03-27	157746	20.19	24.41
1	2018-03-28	158231	45.81	52.64
1	2018-04-01	158783	25.05	29.28
1	2018-04-12	159559	37.11	43.75
1	2018-04-19	160309	39.18	45.8
2	2018-05-02	161152	20.91	25.07
1	2018-05-11	161556	42.5	52.23
1	2018-05-29	162258	34.46	43.04
1	2018-06-05	162957	38.04	47.51
1	2018-06-14	163390	22.54	27.7
1	2018-06-21	163674	14.24	17.5
1	2018-06-27	164326	32.94	39.82
1	2018-07-05	165046	33.13	41.05
1	2018-07-12	165748	35.72	43.54
1	2018-07-24	166651	44.6	54.81
1	2018-08-08	167616	44.79	55.49
1	2018-08-23	168181	24.71	30.62
1	2018-09-07	168794	23.05	30.86
2	2018-09-18	169612	18.83	25.21
1	2018-09-27	169985	41.18	55.55
1	2018-10-10	170904	43.55	59.62
1	2018-10-28	171764	38.77	56.18
1	2018-11-14	172557	40.9	59.67
1	2018-11-20	173219	34.67	49.54
1	2018-12-07	173744	27.66	37.87
1	2018-12-19	174377	32.4	42.74
1	2018-12-21	174950	30.75	39.02
1	2018-12-25	175448	26.25	30.42
2	2018-12-27	176201	20.81	29.74
1	2018-12-28	176504	35.32	43.76
1	2019-01-04	177041	28.57	35.4
1	2019-01-10	177435	22.95	28.21
1	2019-01-17	177841	23.98	28.75
1	2019-01-29	178497	35.37	42.05
1	2019-02-07	179175	35.8	42.57
1	2019-02-25	179792	31.43	39.88
1	2019-03-04	180599	40.38	47.61
1	2019-03-21	181204	34.1	39.86
1	2019-03-29	181643	23.08	26.98
1	2019-03-31	182294	36.92	44.28
1	2019-04-11	182927	31.15	37.04
1	2019-04-24	183501	29.66	35.87
1	2019-05-16	184372	44.21	55.66
1	2019-05-23	184930	28.91	36.98
1	2019-06-14	185807	42.15	50.96
1	2019-06-16	186189	19.65	23.76
1	2019-06-21	186946	39.39	46.05
1	2019-06-30	187451	24.01	29.51
1	2019-07-01	188190	38.01	45.95
1	2019-07-07	188869	31.9	37.93
1	2019-07-26	189523	31.16	37.67
1	2019-08-05	190399	45.57	54.64
1	2019-08-20	190894	25.93	31.06
1	2019-08-26	191791	42.75	49.97
2	2019-09-01	192452	16.93	20.98
1	2019-09-07	192963	38.37	46.01
1	2019-09-14	193697	34.37	42.24
1	2019-09-14	194300	28.55	33.95
2	2019-09-17	195177	10.01	12.5
1	2019-09-17	195203	33.59	41.62
1	2019-09-19	195831	30.44	37.29
1	2019-09-22	196526	31.27	38.43
1	2019-09-26	197340	38.69	47.55
1	2019-09-28	197806	22.71	27.68
1	2019-10-03	198444	33.75	41.48
1	2019-10-07	199350	44.82	54.2
1	2019-10-17	199927	29.64	36.4
1	2019-10-18	200469	29.33	35.23
1	2019-10-25	201289	41.51	50.6
1	2019-10-30	202063	44.98	54.83
1	2019-11-03	202447	20.35	25.21
1	2019-11-05	203108	35.23	41.54
1	2019-11-19	203665	29.37	35.77
1	2019-11-22	204242	29.37	35.22
1	2019-11-25	204797	29.44	34.71
2	2019-12-08	205385	11.19	16.55
1	2019-12-15	205728	40.29	47.06
1	2019-12-22	206317	35.68	45.28
1	2019-12-28	206942	32.35	40.57
1	2020-01-04	207715	38.33	48.64
1	2020-01-08	208309	31.38	40.1
1	2020-01-11	208898	33.68	42.07
1	2020-01-22	209546	33.57	40.59
1	2020-02-14	209894	20.99	25.6
1	2020-02-14	210419	32.25	38.67
1	2020-02-16	210928	25.42	29.18
1	2020-03-04	211256	16.24	18.17
1	2020-03-07	211836	33.12	38.05
1	2020-03-11	212436	35.08	37.5
1	2020-03-21	213061	37.76	43.76
1	2020-03-21	213341	17.82	19.76
1	2020-03-26	213654	18.68	18.85
1	2020-03-30	214227	32.04	34.57
1	2020-04-09	214867	36.67	37.37
1	2020-04-20	215427	29.14	29.99
1	2020-04-21	215942	29.65	29.63
1	2020-04-30	216289	19.21	18.42
1	2020-05-02	216773	27.08	26.51
1	2020-05-19	217324	26.29	26.79
1	2020-05-21	217860	27.53	27.78
1	2020-05-30	218443	31.69	31.67
1	2020-06-06	219002	29.69	30.25
1	2020-06-18	219685	34.67	36.72
1	2020-07-01	220295	33.73	34.71
1	2020-07-04	220954	30.83	30.18
2	2020-07-05	221724	11.67	15.86
1	2020-07-05	221837	36.67	39.2
1	2020-07-14	222169	17.5	18.01
1	2020-07-19	222943	37.9	42.03
1	2020-07-30	223544	28.71	30.70
1	2020-08-02	224168	31.18	34.58
1	2020-08-10	224752	28.28	28.22
1	2020-08-14	225067	13.70	14.10
1	2020-08-16	225834	36.73	36.70
1	2020-08-28	226243	21.05	21.45
1	2020-08-30	226807	27.38	27.60
1	2020-09-02	227482	33.81	36.14
1	2020-09-03	227878	19.67	19.85
1	2020-09-05	228456	28.44	28.98
1	2020-09-07	228990	27.89	27.87
